Civilité,Prenom,Nom,Societe,Site,Departement,Service,fonction,Manager-Prenom,Manager-Nom,Nom de PC,Marque PC,Date de naissance,Telephone fixe,Telephone portable
Mme,Oualid,Correia,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69114,HP,06-08-79,512070245,694895404
M.,Mateo,Dahl,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69065,LENOVO,05-12-85,568230327,789022918
Mme,Zahra,Dahl,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69075,TOSHIBA,08-08-90,565902651,640404230
Mme,Célia,De la Cruz,EcoTechSolutions,Bordeaux,Développement,Recherche et Prototype,Développeur,Hugo,Dimitrov,PA82473,TOSHIBA,07-12-89,568628611,608209508
Mme,Fares,Dias,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69116,LENOVO,11-28-90,596996174,710081240
M.,Hugo,Dimitrov,EcoTechSolutions,Bordeaux,Développement,,Directeur Développement,Emir,Rizzo,PA93655,TOSHIBA,03-28-85,534265628,708540550
M.,Mateo,El-Ghazali,EcoTechSolutions,Bordeaux,Développement,Analyse et conception,Développeur,Hugo,Dimitrov,PA90616,TOSHIBA,07-29-80,561840744,790774458
Mme,Lamia,El-Ghazali,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69060,HP,07-06-78,530774125,762396379
Mme,Adem,Farid,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69079,TOSHIBA,03-24-88,576975329,653187858
M.,Walid,Fernandez,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69106,LENOVO,04-25-94,582808968,621447826
Mme,Mehdi,Ferreira,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69118,LENOVO,12-29-96,572806093,788340303
Mme,Chiara,Fischer,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69038,HP,11-18-87,577873195,772910626
Mme,Nassim,Fuentes,EcoTechSolutions,Bordeaux,Développement,Recherche et Prototype,Développeur,Hugo,Dimitrov,PA82475,TOSHIBA,04-11-92,557923820,732309361
M.,Anika,Garcia,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69084,LENOVO,09-27-91,557736529,625067389
M.,Zayd,Gomez,EcoTechSolutions,Bordeaux,Développement,Développement mobile,Développeur,Hugo,Dimitrov,PA69125,TOSHIBA,04-21-89,505689902,752842080
Mme,Fatima,Gonzalez,EcoTechSolutions,Bordeaux,Développement,Analyse et conception,Développeur,Hugo,Dimitrov,PA90617,LENOVO,08-25-95,550030374,622571017
Mme,Zahra,Gonzalez,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69064,TOSHIBA,04-11-88,526530588,724960703
M.,Bilel,Guedj,EcoTechSolutions,Bordeaux,Développement,Recherche et Prototype,Développeur,Hugo,Dimitrov,PA82477,LENOVO,01-04-88,544863210,625139164
Mme,Yassine,Habib,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69081,HP,05-10-02,521987889,666153553
M.,Elias,Habibi,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69076,LENOVO,04-02-79,518440753,743528471
M.,Adem,Habibi,EcoTechSolutions,Bordeaux,Développement,Développement mobile,Développeur,Hugo,Dimitrov,PA69121,TOSHIBA,04-30-90,506262528,695566507
M.,Amine,Habibi,EcoTechSolutions,Bordeaux,Développement,Recherche et Prototype,Développeur,Hugo,Dimitrov,PA82472,LENOVO,03-27-00,591658667,724996980
Mme,Sana,Hamadi,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69066,TOSHIBA,10-16-89,598620984,719615638
M.,Kamel,Hamzaoui,EcoTechSolutions,Bordeaux,Développement,Recherche et Prototype,Développeur,Hugo,Dimitrov,PA82479,LENOVO,07-29-81,589749259,708246187
M.,Bilal,Hassan,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69090,TOSHIBA,07-09-96,574527610,621785748
Mme,Petra,Hoàng,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA90620,TOSHIBA,04-12-91,559691031,657598646
Mme,Aya,Ishikawa,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69044,TOSHIBA,02-28-91,535628667,751583887
Mme,Carmen,Ivanov,EcoTechSolutions,Bordeaux,Développement,Analyse et conception,Développeur,Hugo,Dimitrov,PA90613,HP,02-25-91,589104085,676794851
Mme,Naomi,Ivanov,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69052,LENOVO,07-15-02,577653988,757149969
M.,Leo,Karam,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69041,LENOVO,05-29-01,545885392,776883926
Mme,Layla,Klein,EcoTechSolutions,Bordeaux,Développement,Développement mobile,Développeur,Hugo,Dimitrov,PA69122,LENOVO,04-04-01,506604600,711534321
M.,Raouf,Kowalski,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69061,HP,06-03-93,509940486,701363943
Mme,Greta,Lam,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69097,LENOVO,08-29-95,528239297,796314157
Mme,Mira,Larsen,EcoTechSolutions,Bordeaux,Développement,Développement mobile,Développeur,Hugo,Dimitrov,PA69124,HP,04-27-81,515530998,776425617
M.,Naomi,Larsen,EcoTechSolutions,Bordeaux,Développement,Recherche et Prototype,Développeur,Hugo,Dimitrov,PA82474,LENOVO,06-21-90,555844987,670768275
M.,Elias,Lemoine,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69045,LENOVO,09-03-79,550396977,725010100
Mme,Mia,Lopez,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69037,HP,06-18-96,528995123,743204742
Mme,Nael,Marquez,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69112,TOSHIBA,10-19-01,565680229,743702406
Mme,Lina,Matsuda,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69103,TOSHIBA,12-04-00,541131306,790062786
Mme,Mira,Matsuda,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69077,TOSHIBA,10-31-80,527143617,780901290
M.,Nassim,Matsuda,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69067,LENOVO,04-22-95,530355920,689043287
M.,Nizar,Matsuda,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69070,HP,05-29-86,558621640,758767120
Mme,Amina,Mendoza,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69050,HP,02-07-84,514839525,676001123
M.,Kenzo,Mendoza,EcoTechSolutions,Bordeaux,Développement,Recherche et Prototype,Développeur,Hugo,Dimitrov,PA82476,LENOVO,05-07-87,542110363,708892353
Mme,Hichem,Meunier,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69110,HP,06-03-99,517693166,670136453
Mme,Salma,Mohamed,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69054,LENOVO,07-14-79,587397053,691250889
Mme,Anika,Morel,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69040,TOSHIBA,09-08-95,597150436,708753874
M.,Rami,Moreno,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69088,HP,11-16-96,594159983,671278069
Mme,Helda,Müller,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69120,LENOVO,01-08-80,519598682,636157491
Mme,Mila,Müller,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69095,LENOVO,12-06-90,546070425,728641211
Mme,Lina,Nakamura,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69058,LENOVO,10-12-81,569517636,709286381
M.,Walid,Ndiaye,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69047,LENOVO,10-07-83,539345838,675345464
M.,Mei,Nguyen,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69082,LENOVO,12-24-02,552286371,793444747
Mme,Mira,Novak,EcoTechSolutions,Bordeaux,Développement,Recherche et Prototype,Développeur,Hugo,Dimitrov,PA82478,LENOVO,01-07-88,500846696,764270295
Mme,Lucia,O'Brien,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69093,LENOVO,08-22-90,552786882,660340794
M.,Rami,O'Connor,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69100,HP,11-27-92,579648487,679195229
M.,Omar,Ochoa,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69057,TOSHIBA,02-18-83,543731838,639090866
M.,Amine,Öztürk,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69072,HP,06-02-93,593794103,604733805
Mme,Aya,Papadopoulos,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69099,HP,09-16-90,568981940,667747390
M.,Teo,Patel,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA48530,LENOVO,10-16-03,543010839,645594187
M.,Keiko,Patel,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69078,LENOVO,12-12-89,507981644,696201915
M.,Leo,Petrov,EcoTechSolutions,Bordeaux,Développement,Analyse et conception,Développeur,Hugo,Dimitrov,PA90614,TOSHIBA,03-26-07,568939104,752647494
Mme,Mila,Petrov,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69046,TOSHIBA,05-30-78,561675857,725996399
Mme,Lia,Prado,EcoTechSolutions,Bordeaux,Développement,Recherche et Prototype,Développeur,Hugo,Dimitrov,PA27339,LENOVO,10-22-98,593783903,657452883
Mme,Aisha,Rahman,EcoTechSolutions,Bordeaux,Développement,Analyse et conception,Développeur,Hugo,Dimitrov,PA41987,HP,05-12-00,581444847,789950292
M.,Kenzo,Rahman,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69059,HP,09-05-90,533765657,631791669
M.,Ismail,Rahmani,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69043,LENOVO,03-06-86,574009943,647974801
M.,Nizar,Rajavi,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69049,HP,12-25-97,540286830,704342065
Mme,Sana,Rajavi,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69089,HP,07-11-80,546664367,770743195
M.,Chiara,Rodriguez,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69086,LENOVO,04-09-00,556274023,665466082
Mme,Tessa,Romano,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69073,TOSHIBA,10-06-01,576998853,765567898
Mme,Fatima,Sato,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69062,TOSHIBA,10-21-99,529858278,619835779
Mme,Fatima,Schmitt,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69107,TOSHIBA,12-11-84,559284808,601636430
Mme,Indira,Singh,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69056,LENOVO,09-08-01,524835537,601268764
Mme,Zayd,Slimani,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69091,LENOVO,03-27-92,588168669,674574057
Mme,Noa,Svensson,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69108,LENOVO,02-13-89,531310252,600144274
M.,Ahmed,Torres,EcoTechSolutions,Bordeaux,Développement,Recherche et Prototype,Développeur,Hugo,Dimitrov,PA82471,TOSHIBA,12-11-95,565476313,689569342
Mme,Mina,Touati,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69071,HP,08-27-86,553194956,745801423
M.,Omar,Touati,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69096,TOSHIBA,05-11-90,576910690,620033523
M.,Aya,Traoré,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69080,LENOVO,12-18-83,559814465,673516850
M.,Yassine,Vega,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69104,LENOVO,09-04-86,501181408,694659492
M.,Leo,Velasquez,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69098,HP,01-09-01,558672751,786598608
Mme,Yara,Velásquez,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69042,TOSHIBA,07-20-84,522840809,627589196
Mme,Tobias,Wang,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69083,TOSHIBA,03-14-95,526701212,689788805
Mme,Kenzo,Yamamoto,EcoTechSolutions,Bordeaux,Développement,Analyse et conception,Développeur,Hugo,Dimitrov,PA90619,LENOVO,01-06-04,558468340,735169716
M.,Oussama,Yamamoto,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69039,HP,08-28-01,574660457,689000684
Mme,Tenzin,Yamashita,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69087,HP,03-10-92,543737709,741031601
Mme,Keiko,Zerouali,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69068,TOSHIBA,07-23-95,520414760,665960107
M.,Clara,Ziani,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69115,TOSHIBA,11-12-91,582453037,720106403
M.,Hedi,Ziani,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69055,TOSHIBA,03-22-87,543765483,715077946
M.,Oussama,Ziani,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69094,TOSHIBA,11-01-99,564949647,745312296
M.,Adel,Bakir,EcoTechSolutions,Bordeaux,Direction,,Directeur adjoint,Emir,Rizzo,PA75795,TOSHIBA,08-02-95,511787046,627613053
Mme,Isadora,Ishikawa,EcoTechSolutions,Bordeaux,Direction,,Responsable stratégie,Emir,Rizzo,PA75796,TOSHIBA,10-20-01,546287589,796605753
M.,Amine,Levi,EcoTechSolutions,Bordeaux,Direction,,Assistant de direction,Adel,Bakir,PA75794,TOSHIBA,07-31-86,526973126,677087041
M.,Emir,Rizzo,EcoTechSolutions,Bordeaux,Direction,,Directeur Général,,,PA12959,TOSHIBA,05-09-85,521144761,747209285
M.,Leo,Tanaka,EcoTechSolutions,Bordeaux,Direction,,Assistant de direction,Emir,Rizzo,PA75792,TOSHIBA,12-12-98,558863498,757121520
Mme,Célia,Touati,EcoTechSolutions,Bordeaux,Direction,,Assistante de direction,Isadora,Ishikawa,PA75793,TOSHIBA,08-09-83,598295066,730166786
M.,Adil,Abbassi,EcoTechSolutions,Bordeaux,Direction des Ressources Humaines,Formation,Formateur,Kais,Novak,PA66782,HP,12-24-96,575320119,751539352
M.,Malik,Belhadj,EcoTechSolutions,Bordeaux,Direction des Ressources Humaines,Recrutement,Agent RH,Soraya,Kimura,PA20619,HP,09-22-95,594297686,621352100
M.,Zakaria,Ben Youssef,EcoTechSolutions,Bordeaux,Direction des Ressources Humaines,Administration du personnel,Agent RH,Soraya,Kimura,PA66774,HP,10-12-01,582915286,678031519
M.,Houssem,Benali,EcoTechSolutions,Bordeaux,Direction des Ressources Humaines,Formation,Formateur,Kais,Novak,PA66781,HP,11-07-86,512799110,707038865
M.,Kaïs,Benzema,EcoTechSolutions,Bordeaux,Direction des Ressources Humaines,Administration du personnel,Gestionnaire RH,Soraya,Kimura,PA66768,HP,10-21-92,540844892,677725372
Mme,Layla,Benzema,EcoTechSolutions,Bordeaux,Direction des Ressources Humaines,Formation,Formateur,Kais,Novak,PA66778,HP,12-03-87,556135451,651152927
Mme,Salma,Bianchi,EcoTechSolutions,Bordeaux,Direction des Ressources Humaines,Recrutement,Responsable recrutement,Soraya,Kimura,PA20618,HP,12-26-80,572612616,739924357
Mme,Priya,Dobrev,EcoTechSolutions,Bordeaux,Direction des Ressources Humaines,Administration du personnel,Agent RH,Soraya,Kimura,PA66773,HP,02-28-82,550011176,686104109
Mme,Chiara,Dupuis,EcoTechSolutions,Bordeaux,Direction des Ressources Humaines,Formation,Formateur,Kais,Novak,PA66780,HP,11-22-82,503588319,765413509
M.,Karim,Farouk,EcoTechSolutions,Bordeaux,Direction des Ressources Humaines,Administration du personnel,Gestionnaire RH,Soraya,Kimura,PA66772,HP,12-16-99,573296069,685096131
Mme,Soraya,Kimura,EcoTechSolutions,Bordeaux,Direction des Ressources Humaines,,Responsable du personnel,Rina,Nakamura,PA66776,HP,02-18-99,592787328,625405176
Mme,Jana,Liu,EcoTechSolutions,Bordeaux,Direction des Ressources Humaines,Administration du personnel,Agent RH,Soraya,Kimura,PA31784,HP,10-31-90,573146845,714509230
Mme,Elina,Morales,EcoTechSolutions,Bordeaux,Direction des Ressources Humaines,Gestion des carrières,Gestionnaire RH,Soraya,Kimura,PA66785,HP,03-13-98,528666160,708351179
